month	longitude	latitude
2020-01-01	-1.602496	54.962754
2020-01-01	-1.601834	54.963372
2020-01-01	-1.601352	54.958464
2020-01-01	-1.601834	54.963372
2020-01-01	-1.599707	54.962098
2020-01-01	-1.602496	54.962754
2020-01-01	-1.602496	54.962754
2020-01-01	-1.602496	54.962754
2020-01-01	-1.601948	54.967668
2020-01-01	-1.601834	54.963372
2020-01-01	-1.601804	54.961701
2020-01-01	-1.601834	54.963372
2020-01-01	-1.600901	54.961383
2020-01-01	-1.601804	54.961701
2020-01-01	-1.602451	54.964174
2020-01-01	-1.605721	54.965254
2020-01-01	-1.601948	54.967668
2020-01-01	-1.596136	54.969419
2020-01-01	-1.597038	54.9682
2020-01-01	-1.60128	54.961025
2020-01-01	-1.601804	54.961701
2020-01-01	-1.599707	54.962098
2020-01-01	-1.588558	54.961926
2020-01-01	-1.605141	54.965396
2020-01-01	-1.601834	54.963372
2020-01-01	-1.596136	54.969419
2020-01-01	-1.602849	54.963474
2020-01-01	-1.602496	54.962754
2020-01-01	-1.599826	54.962692
2020-01-01	-1.600901	54.961383
2020-01-01	-1.604153	54.962643
2020-01-01	-1.604153	54.962643
2020-01-01	-1.603951	54.956235
2020-01-01	-1.604153	54.962643
2020-01-01	-1.604153	54.962643
2020-01-01	-1.613296	54.960309
2020-01-01	-1.613296	54.960309
2020-01-01	-1.601868	54.95683
2020-01-01	-1.604153	54.962643
2020-01-01	-1.606243	54.964501
2020-01-01	-1.604153	54.962643
2020-01-01	-1.601868	54.95683
2020-01-01	-1.604153	54.962643
2020-01-01	-1.606949	54.96258
2020-01-01	-1.604782	54.960632
2020-01-01	-1.604153	54.962643
2020-01-01	-1.604153	54.962643
2020-01-01	-1.604153	54.962643
2020-01-01	-1.604153	54.962643
2020-01-01	-1.601868	54.95683
2020-01-01	-1.604153	54.962643
2020-01-01	-1.603951	54.956235
2020-01-01	-1.604153	54.962643
2020-01-01	-1.604153	54.962643
2020-01-01	-1.604153	54.962643
2020-01-01	-1.604153	54.962643
2020-01-01	-1.604786	54.963427
2020-01-01	-1.604153	54.962643
2020-01-01	-1.606949	54.96258
2020-01-01	-1.601868	54.95683
2020-01-01	-1.604153	54.962643
2020-01-01	-1.604153	54.962643
2020-01-01	-1.601868	54.95683
2020-01-01	-1.604153	54.962643
2020-01-01	-1.602185	54.959455
2020-01-01	-1.604153	54.962643
2020-01-01	-1.602185	54.959455
2020-01-01	-1.604153	54.962643
2020-01-01	-1.607875	54.958908
2020-01-01	-1.603951	54.956235
2020-01-01	-1.604153	54.962643
2020-01-01	-1.604667	54.953281
2020-01-01	-1.598252	54.956127
2020-01-01	-1.604667	54.953281
2020-01-01	-1.597286	54.95748
2020-01-01	-1.604667	54.953281
2020-01-01	-1.604667	54.953281
2020-01-01	-1.597286	54.95748
2020-01-01	-1.604667	54.953281
2020-01-01	-1.604667	54.953281
2020-01-01	-1.602258	54.953722
2020-01-01	-1.604667	54.953281
2020-01-01	-1.597286	54.95748
2020-01-01	-1.598252	54.956127
2020-01-01	-1.590598	54.951797
2020-01-01	-1.598094	54.953197
2020-01-01	-1.593162	54.949882
2020-01-01	-1.589041	54.946705
2020-01-01	-1.593658	54.947161
2020-01-01	-1.589041	54.946705
2020-01-01	-1.667884	55.010712
2020-01-01	-1.667884	55.010712
2020-01-01	-1.66824	55.013032
2020-01-01	-1.672457	55.01165
2020-01-01	-1.635945	55.049648
2020-01-01	-1.637485	55.047217
2020-01-01	-1.64095	55.048378
2020-01-01	-1.635945	55.049648
2020-01-01	-1.633726	55.049318
2020-01-01	-1.635945	55.049648
2020-01-01	-1.639869	55.041419
2020-01-01	-1.641113	55.030055
2020-01-01	-1.654653	55.032781
2020-01-01	-1.654653	55.032781
2020-01-01	-1.642073	55.041776
2020-01-01	-1.640161	55.029828
2020-01-01	-1.654653	55.032781
2020-01-01	-1.647526	55.031943
2020-01-01	-1.638816	55.042
2020-01-01	-1.641113	55.030055
2020-01-01	-1.639926	55.040368
2020-01-01	-1.647526	55.031943
2020-01-01	-1.657659	55.021539
2020-01-01	-1.657659	55.021539
2020-01-01	-1.657975	55.02296
2020-01-01	-1.657659	55.021539
2020-01-01	-1.62845	55.015559
2020-01-01	-1.628475	55.014615
2020-01-01	-1.617968	55.019399
2020-01-01	-1.616741	55.018488
2020-01-01	-1.622121	55.011801
2020-01-01	-1.636254	55.025934
2020-01-01	-1.624648	55.035919
2020-01-01	-1.626595	55.035125
2020-01-01	-1.624648	55.035919
2020-01-01	-1.624648	55.035919
2020-01-01	-1.626595	55.035125
2020-01-01	-1.638674	55.015985
2020-01-01	-1.645038	55.014278
2020-01-01	-1.647638	55.015616
2020-01-01	-1.644441	55.016442
2020-01-01	-1.65031	55.015884
2020-01-01	-1.653089	55.016449
2020-01-01	-1.653089	55.016449
2020-01-01	-1.654942	55.015565
2020-01-01	-1.655337	55.015063
2020-01-01	-1.657631	55.00832
2020-01-01	-1.658862	55.008836
2020-01-01	-1.656286	55.010105
2020-01-01	-1.656286	55.010105
2020-01-01	-1.647836	55.010934
2020-01-01	-1.648951	55.008556
2020-01-01	-1.647102	55.010753
2020-01-01	-1.644871	55.008473
2020-01-01	-1.640959	55.008749
2020-01-01	-1.645802	55.019906
2020-01-01	-1.645802	55.019906
